x,y,dist
0.025,0.025,5.2912
0.075,0.025,5.24476
0.125,0.025,5.19838
0.175,0.025,5.15206
0.225,0.025,5.10581
0.275,0.025,5.05962
0.325,0.025,5.01349
0.375,0.025,4.96743
0.425,0.025,4.92144
0.475,0.025,4.87551
0.525,0.025,4.82966
0.575,0.025,4.78389
0.625,0.025,4.73819
0.675,0.025,4.69257
0.725,0.025,4.64702
0.775,0.025,4.60156
0.825,0.025,4.55619
0.875,0.025,4.5109
0.925,0.025,4.46569
0.975,0.025,4.42058
1.025,0.025,4.37557
1.075,0.025,4.33064
1.125,0.025,4.28582
1.175,0.025,4.2411
1.225,0.025,4.19648
1.275,0.025,4.15197
1.325,0.025,4.10757
1.375,0.025,4.06329
1.425,0.025,4.01912
1.475,0.025,3.97507
1.525,0.025,3.93114
1.575,0.025,3.88734
1.625,0.025,3.84368
1.675,0.025,3.80014
1.725,0.025,3.75675
1.775,0.025,3.7135
1.825,0.025,3.67039
1.875,0.025,3.62744
1.925,0.025,3.58464
1.975,0.025,3.54201
2.025,0.025,3.49954
2.075,0.025,3.45725
2.125,0.025,3.41513
2.175,0.025,3.37319
2.225,0.025,3.33144
2.275,0.025,3.28989
2.325,0.025,3.24854
2.375,0.025,3.20739
2.425,0.025,3.16646
2.475,0.025,3.12575
2.525,0.025,3.08527
2.575,0.025,3.04503
2.625,0.025,3.00503
2.675,0.025,2.96528
2.725,0.025,2.9258
2.775,0.025,2.88658
2.825,0.025,2.84764
2.875,0.025,2.809
2.925,0.025,2.77065
2.975,0.025,2.7326
3.025,0.025,2.69488
3.075,0.025,2.65749
3.125,0.025,2.62044
3.175,0.025,2.58375
3.225,0.025,2.54742
3.275,0.025,2.51147
3.325,0.025,2.47591
3.375,0.025,2.44076
3.425,0.025,2.40604
3.475,0.025,2.37174
3.525,0.025,2.3379
3.575,0.025,2.30452
3.625,0.025,2.27163
3.675,0.025,2.23923
3.725,0.025,2.20736
3.775,0.025,2.17601
3.825,0.025,2.14522
3.875,0.025,2.115
3.925,0.025,2.08538
3.975,0.025,2.05636
4.025,0.025,2.02797
4.075,0.025,2.00024
4.125,0.025,1.97318
4.175,0.025,1.94681
4.225,0.025,1.92116
4.275,0.025,1.89625
4.325,0.025,1.87209
4.375,0.025,1.84872
4.425,0.025,1.82616
4.475,0.025,1.80442
4.525,0.025,1.78354
4.575,0.025,1.76352
4.625,0.025,1.74441
4.675,0.025,1.72621
4.725,0.025,1.70895
4.775,0.025,1.69265
