x,y
1,1
1.0084,0.999988
1.0168,0.999955
1.0252,0.999903
1.03361,0.999836
1.04201,0.999756
1.05041,0.999668
1.05881,0.999573
1.06722,0.999476
1.07562,0.999378
1.08403,0.999284
1.09243,0.999197
1.10083,0.999119
1.10923,0.999053
1.11763,0.999004
1.12604,0.998973
1.13444,0.998964
1.14284,0.99898
1.15123,0.999025
1.15963,0.9991
1.16803,0.99921
1.17642,0.999358
1.18482,0.999546
1.19321,0.999778
1.2016,1.00006
1.20999,1.00037
1.21838,1.0007
1.22677,1.00106
1.23516,1.00145
1.24355,1.00186
1.25194,1.00229
1.26033,1.00275
1.26872,1.00324
1.27711,1.00375
1.2855,1.00428
1.29389,1.00484
1.30227,1.00542
1.31066,1.00603
1.31904,1.00666
1.32742,1.00731
1.33579,1.008
1.34417,1.0087
1.35254,1.00943
1.36091,1.01019
1.36927,1.01096
1.37763,1.01177
1.38599,1.0126
1.39434,1.01345
1.40269,1.01433
1.41104,1.01523
1.41938,1.01615
1.42773,1.0171
1.43607,1.01808
1.44442,1.01908
1.45276,1.02011
1.46109,1.02116
1.46943,1.02223
1.47776,1.02333
1.48609,1.02445
1.49442,1.0256
1.50274,1.02677
1.51106,1.02797
1.51937,1.02919
1.52769,1.03044
1.53599,1.03171
1.5443,1.033
1.55259,1.03432
1.56089,1.03566
1.56918,1.03703
1.57746,1.03842
1.58574,1.03983
1.59401,1.04127
1.60228,1.04274
1.61054,1.04422
1.6188,1.04574
1.62706,1.04727
1.63531,1.04884
1.64356,1.05042
1.65181,1.05203
1.66005,1.05367
1.66829,1.05533
1.67653,1.05701
1.68476,1.05872
1.69298,1.06045
1.7012,1.06221
1.70941,1.06399
1.71762,1.06579
1.72583,1.06762
1.73402,1.06947
1.74221,1.07135
1.7504,1.07325
1.75858,1.07517
1.76675,1.07712
1.77491,1.07909
1.78307,1.08109
1.79122,1.08311
1.79936,1.08515
1.8075,1.08721
1.81564,1.08931
1.82376,1.09142
1.83189,1.09356
1.84001,1.09573
1.84812,1.09791
1.85623,1.10013
1.86433,1.10236
1.87242,1.10462
1.88051,1.10691
1.88859,1.10921
1.89667,1.11154
1.90474,1.1139
1.9128,1.11628
1.92085,1.11868
1.9289,1.12111
1.93694,1.12355
1.94497,1.12603
1.95299,1.12852
1.961,1.13104
1.96901,1.13358
1.977,1.13615
1.98499,1.13874
1.99297,1.14135
2.00094,1.14398
2.00891,1.14664
2.01687,1.14933
2.02482,1.15203
2.03277,1.15477
2.04071,1.15752
2.04864,1.1603
2.05656,1.1631
2.06448,1.16592
2.07238,1.16877
2.08028,1.17164
2.08817,1.17454
2.09606,1.17746
2.10393,1.1804
2.11179,1.18336
