x,y,psi,kappa
0.4,0.2,0,0.0117896
0.998652,0.995466,-0.00261294,0.0119284
1.04599,0.9954,-0.00155799,0.012167
1.09334,0.995561,0.00904577,0.0125142
1.14067,0.99635,0.0292673,0.0129589
1.18798,0.998069,0.0489212,0.0134843
1.23525,1.00044,0.0639117,0.0140706
1.28247,1.00345,0.0790077,0.0146969
1.32965,1.00712,0.094248,0.0153418
1.37676,1.01148,0.109663,0.0159841
1.42379,1.01655,0.125172,0.0166073
1.47073,1.02235,0.140757,0.0171973
1.51757,1.0289,0.156422,0.017746
1.56428,1.03622,0.172191,0.018247
1.61087,1.04429,0.188045,0.018695
1.65731,1.05313,0.203895,0.0190899
1.70359,1.06273,0.219774,0.0194316
1.7497,1.0731,0.235687,0.0197244
1.79563,1.08423,0.251659,0.0199713
1.84137,1.09612,0.267593,0.0201793
1.8869,1.10876,0.283508,0.0203524
1.93221,1.12215,0.299449,0.0204913
1.97729,1.13629,0.315425,0.0206001
2.02214,1.15117,0.331407,0.0206798
2.06672,1.16679,0.347339,0.0207352
2.11105,1.18314,0.363269,0.0207672
2.1551,1.20022,0.379241,0.020773
2.19886,1.21803,0.39524,0.0207528
2.24232,1.23656,0.411209,0.0207039
2.28547,1.2558,0.42715,0.0206266
2.3283,1.27575,0.443113,0.020518
2.37079,1.29641,0.459103,0.0203779
2.41294,1.31777,0.47507,0.0202024
2.45473,1.33982,0.491022,0.0199835
2.49616,1.36257,0.506968,0.019716
2.53721,1.38599,0.522955,0.0193915
2.57786,1.4101,0.538942,0.0190042
2.61812,1.43487,0.554884,0.0185451
2.65797,1.46031,0.570789,0.0180085
2.6974,1.4864,0.586696,0.0173847
2.73639,1.51315,0.602628,0.0166617
2.77494,1.54055,0.618481,0.0158317
2.81303,1.56858,0.634263,0.014887
2.85067,1.59724,0.649965,0.0138271
2.88783,1.62653,0.666489,0.012655
2.92433,1.65665,0.690546,0.011384
2.96033,1.68739,0.70472,0.0100722
2.99614,1.71835,0.709,0.0087915
3.03207,1.74917,0.703441,0.00760248
3.06826,1.77969,0.699682,0.0065325
3.10446,1.8102,0.699881,0.0055842
3.14066,1.8407,0.700011,0.0047527
3.17686,1.8712,0.700091,0.00402978
3.21307,1.9017,0.700138,0.00340562
3.24927,1.9322,0.700161,0.00286988
3.28548,1.9627,0.700169,0.00241231
3.32168,1.9932,0.700166,0.00202316
3.35789,2.0237,0.700158,0.00169342
3.39409,2.05419,0.700145,0.00141491
3.4303,2.08469,0.700132,0.00118033
3.46651,2.11519,0.700117,0.000983241
3.50271,2.14568,0.700103,0.000818009
3.53892,2.17618,0.70009,0.000679756
3.57513,2.20668,0.700078,0.000564277
3.61134,2.23717,0.700067,0.00046797
3.64754,2.26767,0.700058,0.000387765
3.68375,2.29817,0.700049,0.000321054
3.71996,2.32866,0.700042,0.000265629
3.75616,2.35916,0.700035,0.000219628
3.79237,2.38966,0.70003,0.000181485
3.82858,2.42015,0.700025,0.000149884
3.86478,2.45065,0.700021,0.000123724
3.90099,2.48115,0.700018,0.000102082
3.9372,2.51164,0.700015,8.41907e-05
3.97341,2.54214,0.700012,6.9408e-05
4.00961,2.57264,0.70001,5.72004e-05
4.04582,2.60313,0.700009,4.71245e-05
4.08203,2.63363,0.700007,3.88117e-05
4.11823,2.66413,0.700006,3.19564e-05
4.15444,2.69462,0.700005,2.63051e-05
4.19065,2.72512,0.700004,2.16482e-05
4.22685,2.75562,0.700003,1.78118e-05
4.26306,2.78611,0.700003,1.46523e-05
4.29927,2.81661,0.700002,1.2051e-05
4.33547,2.84711,0.700002,9.90977e-06
4.37168,2.8776,0.700002,8.14772e-06
4.40789,2.9081,0.700001,6.698e-06
4.4441,2.9386,0.700001,5.50548e-06
4.4803,2.96909,0.700001,4.52471e-06
4.51651,2.99959,0.700001,3.71822e-06
4.55272,3.03009,0.700001,3.05515e-06
4.58892,3.06058,0.7,2.51008e-06
4.62513,3.09108,0.7,2.06206e-06
4.66134,3.12158,0.7,1.69387e-06
4.69754,3.15207,0.7,1.3913e-06
4.73375,3.18257,0.7,1.1427e-06
4.76996,3.21307,0.7,9.38455e-07
4.80617,3.24356,0.7,7.70666e-07
4.84237,3.27406,0.7,6.3284e-07
4.87858,3.30456,0.7,5.19633e-07
4.91479,3.33505,0.7,4.26655e-07
4.95099,3.36555,0.7,3.50296e-07
4.9872,3.39605,0.7,2.87589e-07
5.02341,3.42654,0.7,2.36096e-07
5.05961,3.45704,0.7,1.93813e-07
5.09582,3.48754,0.7,1.59094e-07
5.13203,3.51803,0.7,1.30587e-07
5.16824,3.54853,0.7,1.07181e-07
5.20444,3.57903,0.7,8.7962e-08
5.24065,3.60952,0.7,7.21813e-08
5.27686,3.64002,0.7,5.92228e-08
5.31306,3.67052,0.7,4.85803e-08
5.34927,3.70101,0.7,3.98385e-08
5.38548,3.73151,0.7,3.26557e-08
5.42168,3.76201,0.7,2.67513e-08
5.45789,3.7925,0.7,2.18945e-08
5.4941,3.823,0.7,1.78958e-08
5.53031,3.8535,0.7,1.45988e-08
5.56651,3.884,0.7,1.18748e-08
5.60272,3.91449,0.7,9.61777e-09
5.63893,3.94499,0.7,7.73984e-09
5.67513,3.97549,0.7,6.16822e-09
5.71134,4.00598,0.7,4.84233e-09
5.74755,4.03648,0.7,3.71152e-09
5.78375,4.06698,0.7,2.73315e-09
5.81996,4.09747,0.7,1.87109e-09
5.85617,4.12797,0.7,1.09442e-09
5.89238,4.15847,0.7,3.7648e-10
5.92858,4.18896,0.7,-3.05913e-10
5.96479,4.21946,0.7,-9.73015e-10
6.001,4.24996,0.7,-1.64246e-09
6.0372,4.28045,0.7,-2.32935e-09
6.07341,4.31095,0.7,-3.04597e-09
6.10962,4.34145,0.7,-3.80138e-09
6.14582,4.37194,0.7,-4.60061e-09
6.18203,4.40244,0.7,-5.44384e-09
6.21824,4.43294,0.7,-6.32543e-09
6.25445,4.46343,0.7,-7.23307e-09
6.29065,4.49393,0.7,-8.14719e-09
6.32686,4.52443,0.7,-9.0411e-09
6.36307,4.55492,0.7,-9.88208e-09
6.39927,4.58542,0.7,-1.06337e-08
6.43548,4.61592,0.7,-1.12595e-08
6.47169,4.64641,0.7,-1.17283e-08
6.5079,4.67691,0.7,-1.20199e-08
6.5441,4.70741,0.7,-1.21306e-08
6.58031,4.7379,0.7,-1.20781e-08
6.61652,4.7684,0.7,-1.19036e-08
6.65272,4.7989,0.7,-1.16698e-08
6.68893,4.8294,0.7,-1.14546e-08
8,3,0.7,-1.13243e-08
